Título,Link,Localização,Empresa,Data,DataExtracao
Técnico de Automação,https://www.linkedin.com/jobs/view/4295024031/?eBP=NON_CHARGEABLE_CHANNEL&refId=SEAL%2Fe4nRvajMBl%2FtG6aXg%3D%3D&trackingId=hCSp8d44xc18WyyymwQGNA%3D%3D&trk=flagship3_search_srp_jobs,"Jaguariaíva, Paraná, Brasil (Presencial)",Arauco,2025-09-08 18:32:06.250101,2025-09-29 18:33:04.466863
Vaga Afirmativa para Pessoas com Deficiência - Jaguriaíva/PR,https://www.linkedin.com/jobs/view/4269585824/?eBP=NON_CHARGEABLE_CHANNEL&refId=SEAL%2Fe4nRvajMBl%2FtG6aXg%3D%3D&trackingId=cbjJrOA3fdWOMMWAqDe3fg%3D%3D&trk=flagship3_search_srp_jobs,"Jaguariaíva, Paraná, Brasil (Presencial)",Arauco,2025-09-08 18:32:06.250101,2025-09-29 18:33:04.908708
Supervisor (a) de Biofábrica,https://www.linkedin.com/jobs/view/4294101381/?eBP=NON_CHARGEABLE_CHANNEL&refId=SEAL%2Fe4nRvajMBl%2FtG6aXg%3D%3D&trackingId=klUVVmJNmps3ycknE1qDTA%3D%3D&trk=flagship3_search_srp_jobs,"Três Lagoas, Mato Grosso do Sul, Brasil (Presencial)",Arauco,2025-09-01 18:32:06.250101,2025-09-29 18:33:05.584360
Técnico(a) de Manutenção Mecânica Jr,https://www.linkedin.com/jobs/view/4281066428/?eBP=NON_CHARGEABLE_CHANNEL&refId=SEAL%2Fe4nRvajMBl%2FtG6aXg%3D%3D&trackingId=%2FWKWsQwt3GiGvYX9Bu6fjg%3D%3D&trk=flagship3_search_srp_jobs,"Jaguariaíva, Paraná, Brasil (Presencial)",Arauco,2025-09-08 18:32:06.250101,2025-09-29 18:33:06.269157
Técnico de Manutenção Elétrica,https://www.linkedin.com/jobs/view/4294398034/?eBP=NON_CHARGEABLE_CHANNEL&refId=SEAL%2Fe4nRvajMBl%2FtG6aXg%3D%3D&trackingId=bSFB7AQLDJ1aRkEy1xB7vA%3D%3D&trk=flagship3_search_srp_jobs,"Jaguariaíva, Paraná, Brasil (Presencial)",Arauco,2025-09-08 18:32:06.250101,2025-09-29 18:33:06.908650
Assistente Administrativo - Vaga Afirmativa: Pessoas com Deficiência,https://www.linkedin.com/jobs/view/4303424023/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=fO2gZ2oD5fNrWwc7aue2xA%3D%3D&trk=flagship3_search_srp_jobs,"Lençóis Paulista, São Paulo, Brasil (Presencial)",Bracell,,2025-09-29 18:34:00.307756
Banco de Talentos,https://www.linkedin.com/jobs/view/4254890526/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=Cw6r6Fggoo%2FxvIUSwreUHw%3D%3D&trk=flagship3_search_srp_jobs,"Alagoinhas, Bahia, Brasil (Presencial)",Bracell,2025-09-22 18:32:06.250101,2025-09-29 18:34:00.826857
Assistente de Operações de RH,https://www.linkedin.com/jobs/view/4288383758/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=P595Ra1UWuR8VkAiBgaU6A%3D%3D&trk=flagship3_search_srp_jobs,"Campinas, São Paulo, Brasil (Presencial)",Bracell,2025-09-15 18:32:06.250101,2025-09-29 18:34:01.196018
Analista de Controladoria,https://www.linkedin.com/jobs/view/4306253042/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=8CUxDFgnERzdXiNHQXG9aw%3D%3D&trk=flagship3_search_srp_jobs,"Lençóis Paulista, São Paulo, Brasil (Presencial)",Bracell,2025-09-25 18:32:06.250101,2025-09-29 18:34:01.857974
Analista de Seguranca de Processos JR,https://www.linkedin.com/jobs/view/4288800620/?eBP=NON_CHARGEABLE_CHANNEL&refId=Hnv0BHK4gWe8%2BUHJNIqxlQ%3D%3D&trackingId=UXlNS0tKyfaTf2wkaY4AuQ%3D%3D&trk=flagship3_search_srp_jobs,"Camaçari, Bahia, Brasil (Presencial)",Bracell,2025-09-22 18:32:06.250101,2025-09-29 18:34:02.371926
